Warehouse,Item,Item Description,Inventory Status,Lot,On Hand Qty,Allocated Qty,In Transit Qty,Company,Aging Date
Brampton,1S-P763-BBCX,0,Available,,204,0,0,AMFLAT,2026-01-14T19:36:49.507
Brampton,A281P369SHOW7174AZ,Americanflat 71x74 Floral Shower Curtain - 100% Polyester Shower Curtain with 12 Hooks - Shower Curt,Available,,40,0,0,AMFLAT,2026-01-14T19:31:08.09
Brampton,A2BLK,Americanflat A2 Picture Frame in Black - Composite Wood with Polished Plexiglass - Horizontal and Ve,Available,,36,36,0,AMFLAT,2026-01-14T19:31:01.557
Brampton,A313P125SHOW7174AZ,Americanflat 71x74 Abstract Shower Curtain - 100% Polyester Shower Curtain with 12 Hooks - Bathroom,Available,,20,0,0,AMFLAT,2026-01-14T19:30:49.983
Brampton,A3BK,Americanflat A3 Picture Frame in Black - Composite Wood with Shatter Resistant Glass - Horizontal an,Available,,30,0,0,AMFLAT,2026-03-17T15:27:55.303
Brampton,A4BK,Americanflat A4 Picture Frame in Black - Composite Wood with Shatter Resistant Glass - Horizontal an,Available,,12,12,0,AMFLAT,2025-04-11T15:02:25.457
Brampton,ALU0912BLK0608,Americanflat Aluminum 9x12 Picture Frame in Black - Use as 6x8 Picture Frame with Mat or 9x12 Frame,Available,,108,0,0,AMFLAT,2026-01-14T19:31:43.78
Brampton,BFXF5060BRW,BFXF5060BRW,Available,,45,0,0,AMFLAT,2026-01-14T19:30:32.26
Brampton,BFXF5060PNK,BFXF5060PNK,Available,,45,0,0,AMFLAT,2026-01-14T19:30:06.24
Brampton,BFXF5060WHT,BFXF5060WHT,Available,,150,0,0,AMFLAT,2026-01-14T19:29:53.367
Brampton,BFXF6080BLU,BFXF6080BLU,Available,,50,0,0,AMFLAT,2026-01-14T19:29:47.23
Brampton,BFXF6080BRW,BFXF6080BRW,Available,,20,0,0,AMFLAT,2026-01-14T19:29:33.56
Brampton,BFXF6080DGRY,BFXF6080DGRY,Available,,20,0,0,AMFLAT,2026-01-14T19:29:27.04
Brampton,BFXF6080GRN,BFXF6080GRN,Available,,20,0,0,AMFLAT,2026-01-14T19:29:15.643
Brampton,BFXF6080GRY,BFXF6080GRY,Available,,20,0,0,AMFLAT,2026-01-14T19:29:09.357
Brampton,BFXF6080PNK,BFXF6080PNK,Available,,20,0,0,AMFLAT,2026-01-14T19:28:49.61
Brampton,BFXF6080WHT,BFXF6080WHT,Available,,70,0,0,AMFLAT,2026-01-14T19:28:43.43
Brampton,BJ3040BXCHKCRM,BJ3040BXCHKCRM,Available,,160,0,0,AMFLAT,2026-01-14T19:28:33.9
Brampton,BJ3040BXPETGRAY,BJ3040BXPETGRAY,Available,,160,0,0,AMFLAT,2026-01-14T19:28:10.62
Brampton,BJ3040BXPETTAU,BJ3040BXPETTAU,Available,,80,0,0,AMFLAT,2026-01-14T19:26:51.867
Brampton,BROUFXF5060BRW,BROUFXF5060BRW,Available,,20,0,0,AMFLAT,2026-01-14T19:26:44.63
Brampton,BROUFXF5060GRY,BROUFXF5060GRY,Available,,20,0,0,AMFLAT,2026-01-14T19:26:34.727
Brampton,BROUFXF5060WHT,BROUFXF5060WHT,Available,,170,0,0,AMFLAT,2026-01-14T19:26:28.72
Brampton,BSOL5060BRW,BSOL5060BRW,Available,,28,0,0,AMFLAT,2026-01-14T19:26:18.673
Brampton,BSOL5060BRW,BSOL5060BRW,Available,,28,28,0,AMFLAT,2026-01-14T19:26:18.673
Brampton,BSOL5060PNK,BSOL5060PNK,Available,,56,0,0,AMFLAT,2026-01-14T19:26:11.983
Brampton,BSOL6080BRW,BSOL6080BRW,Available,,52,0,0,AMFLAT,2026-01-14T19:25:51.423
Brampton,BSOL6080PNK,BSOL6080PNK,Available,,52,0,0,AMFLAT,2026-01-14T19:25:41.473
Brampton,BSOL6080WHT,BSOL6080WHT,Available,,91,0,0,AMFLAT,2026-01-14T19:25:34.76
Brampton,BSOL9090BRW,BSOL9090BRW,Available,,50,0,0,AMFLAT,2026-01-14T19:25:23.4
Brampton,BSOL9090PNK,BSOL9090PNK,Available,,50,0,0,AMFLAT,2026-01-14T19:25:16.17
Brampton,BSOL9090WHT,BSOL9090WHT,Available,,100,0,0,AMFLAT,2026-01-14T19:25:05.397
Brampton,FF0810BK,FF0810BK,Available,,20,0,0,AMFLAT,2026-01-14T19:32:02.173
Brampton,FLAGCASEBR,FLAGCASEBR,Available,,56,0,0,AMFLAT,2026-01-21T22:53:31.527
Brampton,FLAGCASEBR,FLAGCASEBR,Available,,8,8,0,AMFLAT,2026-01-21T22:53:31.527
Brampton,IFBLK2134NOMAT4PK,IFBLK2134NOMAT4PK,Available,,60,0,0,AMFLAT,2026-01-14T19:24:41.623
Brampton,JRSYDC1824BLK,Americanflat Jersey Frame Display Case in Black - 18x24 Lockable Plexiglass Shadow Box - Jersey Disp,Available,,4,0,0,AMFLAT,2025-04-11T15:23:04.577
Brampton,JRSYDC1824BLK,Americanflat Jersey Frame Display Case in Black - 18x24 Lockable Plexiglass Shadow Box - Jersey Disp,Held,,4,0,0,AMFLAT,2025-04-11T15:23:04.577
Brampton,JRSYDC1824BLK,Americanflat Jersey Frame Display Case in Black - 18x24 Lockable Plexiglass Shadow Box - Jersey Disp,Available,,24,0,0,AMFLAT,2025-04-11T15:23:04.577
Brampton,JRSYDCBLK,Americanflat Jersey Frame Display Case in Black - 23x31 Lockable Plexiglass Shadow Box - Jersey Disp,Available,,8,0,0,AMFLAT,2025-04-11T15:16:45.483
Brampton,JRSYDCBLK,Americanflat Jersey Frame Display Case in Black - 23x31 Lockable Plexiglass Shadow Box - Jersey Disp,Available,,20,0,0,AMFLAT,2025-04-11T15:16:45.483
Brampton,JRSYDCBLK,Americanflat Jersey Frame Display Case in Black - 23x31 Lockable Plexiglass Shadow Box - Jersey Disp,Available,,20,0,0,AMFLAT,2025-04-11T15:16:45.483
Brampton,JRSYDCBLK,Americanflat Jersey Frame Display Case in Black - 23x31 Lockable Plexiglass Shadow Box - Jersey Disp,Available,,20,0,0,AMFLAT,2025-04-11T15:16:45.483
Brampton,JRSYDCBLK,Americanflat Jersey Frame Display Case in Black - 23x31 Lockable Plexiglass Shadow Box - Jersey Disp,Available,,20,0,0,AMFLAT,2025-04-11T15:16:45.483
Brampton,JRSYDCBLK,Americanflat Jersey Frame Display Case in Black - 23x31 Lockable Plexiglass Shadow Box - Jersey Disp,Available,,20,0,0,AMFLAT,2025-04-11T15:16:45.483
Brampton,JRSYDCBLK,Americanflat Jersey Frame Display Case in Black - 23x31 Lockable Plexiglass Shadow Box - Jersey Disp,Available,,20,0,0,AMFLAT,2025-04-11T15:16:45.483
Brampton,JRSYDCBLK,Americanflat Jersey Frame Display Case in Black - 23x31 Lockable Plexiglass Shadow Box - Jersey Disp,Available,,20,0,0,AMFLAT,2025-04-11T15:16:45.483
Brampton,KAF8511DWOOD,KAF8511DWOOD,Available,,216,0,0,AMFLAT,2026-01-14T19:35:39.53
Brampton,KAF8511MH,KAF8511MH,Available,,104,0,0,AMFLAT,2026-01-14T19:35:33.263
Brampton,KAF8511OAK,KAF8511OAK,Available,,104,0,0,AMFLAT,2026-01-14T19:35:25.063
Brampton,KAF8511WALNUT,KAF8511WALNUT,Available,,192,0,0,AMFLAT,2026-01-14T19:35:18.503
Brampton,LX0606BLK,Americanflat 6x6 Picture Frame in Black - Displays 4x4 With Mat and 6x6 Without Mat - Horizontal and,Available,,48,48,0,AMFLAT,2025-04-11T20:31:45.767
Brampton,LX0606BLK,Americanflat 6x6 Picture Frame in Black - Displays 4x4 With Mat and 6x6 Without Mat - Horizontal and,Available,,96,0,0,AMFLAT,2025-04-11T20:31:45.767
Brampton,LX0606WHT44,Americanflat 6x6 Picture Frame with Shatter-Resistant Glass - Use as 4x4 Frame with Mat or 6x6 Witho,Available,,144,0,0,AMFLAT,2025-04-14T13:49:52.92
Brampton,LX0606WHT44,Americanflat 6x6 Picture Frame with Shatter-Resistant Glass - Use as 4x4 Frame with Mat or 6x6 Witho,Available,,48,48,0,AMFLAT,2025-04-14T13:49:52.92
Brampton,LX0606WHTNOMAT,Americanflat 6x6 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Border Ph,Available,,48,0,0,AMFLAT,2025-04-14T13:50:18.217
Brampton,LX0608BLK35,Americanflat 6x8 Picture Frame with Shatter-Resistant Glass - Use as 3x5 Frame with Mat or 6x8 Frame,Available,,144,0,0,AMFLAT,2025-04-14T13:51:28.54
Brampton,LX0608BLK35,Americanflat 6x8 Picture Frame with Shatter-Resistant Glass - Use as 3x5 Frame with Mat or 6x8 Frame,Available,,48,48,0,AMFLAT,2025-04-14T13:51:28.54
Brampton,LX0608WHT35,Americanflat 6x8 Picture Frame with Shatter-Resistant Glass - Use as 3x5 Frame with Mat or 6x8 Frame,Available,,48,0,0,AMFLAT,2025-04-14T13:52:07.08
Brampton,LX0608WHT46,Americanflat 6x8 Picture Frame with Shatter-Resistant Glass - Use as 4x6 Frame with Mat or 6x8 Frame,Available,,192,0,0,AMFLAT,2025-04-14T13:52:36.923
Brampton,LX0808BLK55,Americanflat 8x8 Picture Frame with Shatter-Resistant Glass - Use as 5x5 Frame with Mat or 8x8 Witho,Available,,72,0,0,AMFLAT,2025-04-14T13:54:19.07
Brampton,LX0808BLKNOMAT,Unusual Sizes' in LX without mat - 8x8,Available,,24,0,0,AMFLAT,2025-04-14T13:54:52.907
Brampton,LX0808WHT55,Americanflat 8x8 Picture Frame with Shatter-Resistant Glass - Use as 5x5 Frame with Mat or 8x8 Frame,Available,,108,0,0,AMFLAT,2025-04-14T13:58:04.687
Brampton,LX0810BLK,Americanflat 8x10 Picture Frame in Black - Displays 5x7 With Mat and 8x10 Without Mat - Horizontal a,Available,,144,0,0,AMFLAT,2025-04-14T13:59:53.737
Brampton,LX0810BLK,Americanflat 8x10 Picture Frame in Black - Displays 5x7 With Mat and 8x10 Without Mat - Horizontal a,Available,,120,0,0,AMFLAT,2026-01-16T18:32:26.523
Brampton,LX0810WHTNOMAT,Americanflat 8x10 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Border P,Available,,120,0,0,AMFLAT,2025-04-14T14:01:20.91
Brampton,LX0816BLKNOMAT,Unusual Sizes' in LX without mat - 8x16,Available,,108,0,0,AMFLAT,2026-01-14T19:24:18.573
Brampton,LX0824BLKNOMAT,Unusual Sizes' in LX without mat - 8x24,Available,,6,0,0,AMFLAT,2026-01-16T19:40:04.667
Brampton,LX0912BLK-2PACK,Americanflat 9x12 Picture Frame in Black - Displays 6x8 With Mat and 9x12 Without Mat - Horizontal a,Available,,216,0,0,AMFLAT,2025-04-14T14:03:23.74
Brampton,LX0912BLK-2PACK,Americanflat 9x12 Picture Frame in Black - Displays 6x8 With Mat and 9x12 Without Mat - Horizontal a,Available,,72,0,0,AMFLAT,2025-04-14T14:03:23.74
Brampton,LX0912BLKNOMAT,LX without mat more sizes - 9x12,Available,,168,0,0,AMFLAT,2025-04-14T14:04:05.283
Brampton,LX0912WHT68,Americanflat 9x12 Picture Frame with Shatter-Resistant Glass - Use as 6x8 Frame with Mat or 9x12 Fra,Available,,24,24,0,AMFLAT,2026-01-14T19:23:35.16
Brampton,LX0912WHTNOMAT,Americanflat 9x12 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Border P,Available,,132,0,0,AMFLAT,2025-04-14T14:06:03.13
Brampton,LX1010BLKNOMAT,Americanflat 10x10 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Border,Available,,144,0,0,AMFLAT,2025-04-16T20:18:12.38
Brampton,LX1114BLKNOMAT,LX without mat more sizes - 11x14,Available,,60,0,0,AMFLAT,2025-04-11T14:54:33.593
Brampton,LX1114BLKNOMAT,LX without mat more sizes - 11x14,Available,,60,60,0,AMFLAT,2025-04-11T14:54:33.593
