defect,detail,title,size,category,upc,sku,price,in_stock,url,offer_id
description contradicts title size,"description quotes 12x12, 15x15 but the title says 11x11 -- trust 11x11",11x11 Black - Use as 8x8 Frame with Mat or 11x11 Frame Without Mat - Picture Frame,11x11,Picture Frame,00810029118545,LX1111BLK,12.99,yes,https://americanflat.com/products/11x11-black-use-as-8x8-frame-with-mat-or-11x11-frame-without-mat-picture-frame,shopify_US_7274309582918_41006078328902
description contradicts title size,description quotes 8.5x11 but the title says 11x14 -- trust 11x14,11x14 with 8.5x11 Mat | Diploma Frame | 2 Pack | Driftwood | Modern 11x14 / White / White,11x14,Picture Frame,00850037537525,,19.99,yes,https://americanflat.com/products/americanflat-diploma-frames-set-of-2-with-8-5x11-mat-wall-display,shopify_US_7972754620486_43869865181254
description contradicts title size,description quotes 16x20 but the title says 11x14 -- trust 11x14,11x14 | Matted to 4x6 | Black | Signature Matted Engineered Wood Collage Frame | 4 Opening | Americanflat,11x14,Collage Frame,00791398917802,MW1114BK546,13.99,yes,https://americanflat.com/products/americanflat-16x20-collage-picture-frame-fits-one-6x8-four-5x7-and-four-4x4-photos-or-one-16x20-photo,shopify_US_7607908040774_46243812540486
description contradicts title size,description quotes 16x20 but the title says 11x14 -- trust 11x14,11x14 | Matted to 4x6 | Driftwood | Signature Matted Engineered Wood Collage Frame | 5 Opening | Americanflat,11x14,Collage Frame,00810029115834,MW1114DWOOD546,10.99,yes,https://americanflat.com/products/americanflat-16x20-collage-picture-frame-fits-one-6x8-four-5x7-and-four-4x4-photos-or-one-16x20-photo,shopify_US_7607908040774_46243812180038
description contradicts title size,description quotes 16x20 but the title says 11x14 -- trust 11x14,11x14 | Matted to 4x6 | Gold | Signature Matted Engineered Wood Collage Frame | 5 Opening | Americanflat,11x14,Collage Frame,00810029115872,MW1114PBRASS546,14.99,yes,https://americanflat.com/products/americanflat-16x20-collage-picture-frame-fits-one-6x8-four-5x7-and-four-4x4-photos-or-one-16x20-photo,shopify_US_7607908040774_46243812245574
description contradicts title size,description quotes 16x20 but the title says 11x14 -- trust 11x14,11x14 | Matted to 4x6 | Lightwood | Signature Matted Engineered Wood Collage Frame | 5 Opening | Americanflat,11x14,Collage Frame,00810029115858,MW1114LWOOD546,9.99,yes,https://americanflat.com/products/americanflat-16x20-collage-picture-frame-fits-one-6x8-four-5x7-and-four-4x4-photos-or-one-16x20-photo,shopify_US_7607908040774_46243812278342
description contradicts title size,description quotes 16x20 but the title says 11x14 -- trust 11x14,11x14 | Matted to 4x6 | Oak | Signature Matted Engineered Wood Collage Frame | 5 Opening | Americanflat,11x14,Collage Frame,00810029115841,MW1114OAK546,14.99,yes,https://americanflat.com/products/americanflat-16x20-collage-picture-frame-fits-one-6x8-four-5x7-and-four-4x4-photos-or-one-16x20-photo,shopify_US_7607908040774_46243812343878
description contradicts title size,description quotes 16x20 but the title says 11x14 -- trust 11x14,11x14 | Matted to 4x6 | Silver | Signature Matted Engineered Wood Collage Frame | 5 Opening | Americanflat,11x14,Collage Frame,00810029115889,MW1114PNICKEL546,17.99,no,https://americanflat.com/products/americanflat-16x20-collage-picture-frame-fits-one-6x8-four-5x7-and-four-4x4-photos-or-one-16x20-photo,shopify_US_7607908040774_46243812311110
description contradicts title size,description quotes 16x20 but the title says 11x14 -- trust 11x14,11x14 | Matted to 4x6 | Walnut | Signature Matted Engineered Wood Collage Frame | 5 Opening | Americanflat,11x14,Collage Frame,00810029115865,MW1114WALNUT546,15.99,no,https://americanflat.com/products/americanflat-16x20-collage-picture-frame-fits-one-6x8-four-5x7-and-four-4x4-photos-or-one-16x20-photo,shopify_US_7607908040774_46243812212806
description contradicts title size,"description quotes 16x16, 5x7 but the title says 10x10 -- trust 10x10",11x14 | White | Picture Frame | Matted to 2x3 | Streamline 10x10 / Black / 4x4,10x10,Picture Frame,00198301386814,,11.99,yes,https://americanflat.com/products/thin-border-picture-frame-shatter-resistant-plexiglass-wall-art-display,shopify_US_8423982760006_45167810576454
description contradicts title size,"description quotes 16x16, 5x7 but the title says 10x10 -- trust 10x10",11x14 | White | Picture Frame | Matted to 2x3 | Streamline 10x10 / White / 4x4,10x10,Picture Frame,00198301386821,,11.99,yes,https://americanflat.com/products/thin-border-picture-frame-shatter-resistant-plexiglass-wall-art-display,shopify_US_8423982760006_45167810543686
description contradicts title size,"description quotes 16x16, 5x7 but the title says 11x14 -- trust 11x14",11x14 | White | Picture Frame | Matted to 2x3 | Streamline 11x14 / Black / 2x3,11x14,Picture Frame,00198301386876,,12.99,yes,https://americanflat.com/products/thin-border-picture-frame-shatter-resistant-plexiglass-wall-art-display,shopify_US_8423982760006_45167810510918
description contradicts title size,"description quotes 16x16, 5x7 but the title says 11x14 -- trust 11x14",11x14 | White | Picture Frame | Matted to 2x3 | Streamline 11x14 / White / 2x3,11x14,Picture Frame,00198301386944,,12.99,yes,https://americanflat.com/products/thin-border-picture-frame-shatter-resistant-plexiglass-wall-art-display,shopify_US_8423982760006_45167810478150
description contradicts title size,"description quotes 16x16, 5x7 but the title says 12x16 -- trust 12x16",11x14 | White | Picture Frame | Matted to 2x3 | Streamline 12x16 / Black / 4x6,12x16,Picture Frame,00810131997861,,15.99,yes,https://americanflat.com/products/thin-border-picture-frame-shatter-resistant-plexiglass-wall-art-display,shopify_US_8423982760006_45167808872518
description contradicts title size,"description quotes 16x16, 5x7 but the title says 12x16 -- trust 12x16",11x14 | White | Picture Frame | Matted to 2x3 | Streamline 12x16 / Gold / 4x6,12x16,Picture Frame,00810131997885,,16.99,yes,https://americanflat.com/products/thin-border-picture-frame-shatter-resistant-plexiglass-wall-art-display,shopify_US_8423982760006_45167808905286
description contradicts title size,"description quotes 16x16, 5x7 but the title says 12x16 -- trust 12x16",11x14 | White | Picture Frame | Matted to 2x3 | Streamline 12x16 / Silver / 4x6,12x16,Picture Frame,00810131997892,,16.99,yes,https://americanflat.com/products/thin-border-picture-frame-shatter-resistant-plexiglass-wall-art-display,shopify_US_8423982760006_45167808938054
description contradicts title size,"description quotes 16x16, 5x7 but the title says 12x16 -- trust 12x16",11x14 | White | Picture Frame | Matted to 2x3 | Streamline 12x16 / White / 4x6,12x16,Picture Frame,00810131997908,,9.99,yes,https://americanflat.com/products/thin-border-picture-frame-shatter-resistant-plexiglass-wall-art-display,shopify_US_8423982760006_45167808970822
description contradicts title size,"description quotes 16x16, 5x7 but the title says 14x14 -- trust 14x14",11x14 | White | Picture Frame | Matted to 2x3 | Streamline 14x14 / Black / 4x6,14x14,Picture Frame,00810131997915,,17.99,yes,https://americanflat.com/products/thin-border-picture-frame-shatter-resistant-plexiglass-wall-art-display,shopify_US_8423982760006_45167809003590
description contradicts title size,"description quotes 16x16, 5x7 but the title says 14x14 -- trust 14x14",11x14 | White | Picture Frame | Matted to 2x3 | Streamline 14x14 / Black / 4x6 Black,14x14,Picture Frame,00198301387835,,19.99,yes,https://americanflat.com/products/thin-border-picture-frame-shatter-resistant-plexiglass-wall-art-display,shopify_US_8423982760006_45167811067974
description contradicts title size,"description quotes 16x16, 5x7 but the title says 14x14 -- trust 14x14",11x14 | White | Picture Frame | Matted to 2x3 | Streamline 14x14 / Gold / 4x6,14x14,Picture Frame,00810131997939,,19.99,yes,https://americanflat.com/products/thin-border-picture-frame-shatter-resistant-plexiglass-wall-art-display,shopify_US_8423982760006_45167809036358
