SKU,Product,Shipments with extra charge,Extra charged ($),By service,By type
LX4040BLKNOMAT,Thin Border Picture Frame | Shatter-Resistant | No Mat | Tabletop/Wall Display - Americanflat - 40x40 / Black,89,13205.81,"FedEx (service not itemized) $13,205.81","Billed above label cost $13,205.81"
WB3636BLK,Gallery Poster Frame without Mat | Epic Collection - 36x36 / Black,47,3144.05,"FedEx (service not itemized) $3,144.05","Billed above label cost $3,144.05"
WMW2840BLK2436,Oversized Gallery Picture Frame with Mat | Hudson Collection - 28x40 / Black / 24x36,127,1332.21,"FedEx (service not itemized) $1,332.21","Billed above label cost $1,332.21"
WB2840BLK,Epic Poster Frame - 28x40 / Black,20,1296.38,"FedEx (service not itemized) $1,296.38","Billed above label cost $1,296.38"
WB3030BLKPC,"Americanflat 30x30 Poster frame, Black",60,1220.37,"FedEx (service not itemized) $1,220.37","Billed above label cost $1,220.37"
MP-WPC-GSD-2840-WHITE-2436,"Americanflat 28x40 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - White",25,1138.41,FedEx (service not itemized) $538.31; UPS Ground Saver $511.70; UPS (service not itemized) $88.40,Billed above label cost $626.71; Carrier re-rate after label $511.70
MP-WPC-GSD-2840-BLACK-2436,"Americanflat 28x40 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - Black",38,1107.21,"FedEx (service not itemized) $1,107.21","Billed above label cost $1,107.21"
LX2828BLK2424,Picture Frame | Includes Mat | Slim Molding | Streamline Collection - 28x28 with 24x24 Mat / Black / 1 Pack,39,936.05,UPS Ground Saver $761.39; FedEx (service not itemized) $144.27; UPS (service not itemized) $30.39,Carrier re-rate after label $791.78; Billed above label cost $144.27
MP-WPC-GSD-2436-BLACK-2030,"Americanflat 24x36 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - Black",66,921.15,FedEx (service not itemized) $921.15,Billed above label cost $921.15
LX2436BLK,Americanflat 24x36 Poster Frame with Polished Plexiglass - Streamline Collection - Thin Border Picture Frame for Wall Display - Black,97,898.37,UPS Ground Saver $555.67; USPS Ground Advantage $225.62; FedEx (service not itemized) $69.03; UPS (service not itemized) $48.05,Carrier re-rate after label $805.03; Billed above label cost $93.34
DM1248BK,Americanflat 15x51 Over The Door Mirror - Hanging Full Length Mirrors with Engineered Wood - Modern Mirror for Living Room - Mirrors for Wall Display,49,880.96,FedEx (service not itemized) $880.96,Billed above label cost $880.96
MP-WPC-GSD-2228-BLACK-1824,"Americanflat 22x28 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - Black",70,651.56,UPS Ground Saver $546.58; FedEx (service not itemized) $49.64; UPS (service not itemized) $35.84; USPS Ground Advantage $19.50,Carrier re-rate after label $583.64; Billed above label cost $67.92
WB2030OAKPC,Gallery Poster Frame with Wood Grain Finish | Epic Collection - 20x30 / Pine,86,600.76,UPS Ground Saver $480.66; FedEx (service not itemized) $120.10,Carrier re-rate after label $480.66; Billed above label cost $120.10
LX2030BLK,Poster Frame | Slim Molding | Streamline Collection - Black / 20x30,108,586.13,UPS Ground Saver $535.07; FedEx (service not itemized) $44.38; UPS (service not itemized) $6.68,Carrier re-rate after label $535.75; Billed above label cost $50.38
